,name,right_ascension,declination,apparent_magnitude,distance (ly),link,parent_constellation
1244,Gamma Camelopardalis,03h 50m 21.48s,+71° 19′ 56.5″,4.59,335,/wiki/Gamma_Camelopardalis,Camelopardalis
1245,BK Camelopardalis,03h 19m 59.26s,+65° 39′ 08.4″,4.74,801,/wiki/BK_Camelopardalis,Camelopardalis
1246,HD 42818,06h 18m 50.78s,+69° 19′ 12.1″,4.76,176,/wiki/HD_42818,Camelopardalis
1247,HD 23089,03h 46m 02.33s,+63° 20′ 42.2″,4.78,799,/wiki/HD_23089,Camelopardalis
1248,VZ Camelopardalis,07h 31m 04.48s,+82° 24′ 41.6″,4.92,473,/wiki/VZ_Camelopardalis,Camelopardalis
1249,HD 24479,03h 57m 25.44s,+63° 04′ 20.1″,4.95,338,/wiki/HD_24479,Camelopardalis
1250,HD 24480,03h 57m 08.29s,+61° 06′ 32.1″,4.99,1852,/wiki/HD_24480,Camelopardalis
1251,HD 25291,04h 04m 27.16s,+59° 09′ 19.8″,5.0,1734,/wiki/HD_25291,Camelopardalis
1252,BD Camelopardalis,03h 42m 09.35s,+63° 13′ 00.3″,5.06,520,/wiki/BD_Camelopardalis,Camelopardalis
1253,3 Camelopardalis,04h 39m 54.69s,+53° 04′ 46.5″,5.07,495,/wiki/3_Camelopardalis,Camelopardalis
1254,HD 33564,05h 22m 33.78s,+79° 13′ 50.7″,5.08,68,/wiki/HD_33564,Camelopardalis
1255,HD 21447,03h 30m 00.23s,+55° 27′ 06.6″,5.09,191,/wiki/HD_21447,Camelopardalis
1256,43 Camelopardalis,06h 53m 42.24s,+68° 53′ 17.9″,5.11,1000,/wiki/43_Camelopardalis,Camelopardalis
1257,CQ Camelopardalis,03h 24m 40.56s,+64° 35′ 09.6″,5.13,1249,/wiki/CQ_Camelopardalis,Camelopardalis
1258,42 Camelopardalis,06h 50m 57.09s,+67° 34′ 18.9″,5.14,867,/wiki/42_Camelopardalis,Camelopardalis
1259,HD 106112,12h 12m 11.91s,+77° 36′ 58.3″,5.14,110,/wiki/HD_106112,Camelopardalis
1260,HD 26764,04h 16m 43.11s,+53° 36′ 42.5″,5.2,353,/wiki/HD_26764,Camelopardalis
1261,31 Camelopardalis,05h 54m 57.83s,+59° 53′ 18.3″,5.2,405,/wiki/31_Camelopardalis,Camelopardalis
1262,11 Camelopardalis,05h 06m 08.46s,+58° 58′ 20.6″,5.22,671,/wiki/11_Camelopardalis,Camelopardalis
1263,16 Camelopardalis,05h 23m 27.83s,+57° 32′ 40.3″,5.24,340,/wiki/16_Camelopardalis,Camelopardalis
1264,HD 90089,10h 31m 05.02s,+82° 33′ 30.7″,5.25,70,/wiki/HD_90089,Camelopardalis
1265,HD 27022,04h 20m 40.36s,+65° 08′ 25.6″,5.26,333,/wiki/HD_27022,Camelopardalis
1266,4 Camelopardalis,04h 48m 00.22s,+56° 45′ 27.1″,5.29,162,/wiki/4_Camelopardalis,Camelopardalis
1267,37 Camelopardalis,06h 09m 58.99s,+58° 56′ 08.3″,5.35,349,/wiki/37_Camelopardalis,Camelopardalis
1268,2 Camelopardalis,04h 39m 58.03s,+53° 28′ 23.7″,5.36,277,/wiki/2_Camelopardalis,Camelopardalis
1269,36 Camelopardalis,06h 12m 51.05s,+65° 43′ 06.6″,5.36,642,/wiki/36_Camelopardalis,Camelopardalis
1270,40 Camelopardalis,06h 15m 40.51s,+59° 59′ 56.5″,5.37,498,/wiki/40_Camelopardalis,Camelopardalis
1271,HD 64307,08h 00m 11.76s,+73° 55′ 04.8″,5.37,700,/wiki/HD_64307,Camelopardalis
1272,Σ 1694,12h 49m 13.80s,+83° 24′ 46.3″,5.38,303,/wiki/%CE%A3_1694,Camelopardalis
1273,HD 64486,08h 04m 47.19s,+79° 28′ 47.1″,5.39,330,/wiki/HD_64486,Camelopardalis
1274,HD 23277,03h 49m 13.70s,+70° 52′ 16.3″,5.4,325,/wiki/HD_23277,Camelopardalis
1275,HD 27245,04h 21m 47.58s,+60° 44′ 09.2″,5.4,427,/wiki/HD_27245,Camelopardalis
1276,17 Camelopardalis,05h 30m 10.21s,+63° 04′ 02.0″,5.43,931,/wiki/17_Camelopardalis,Camelopardalis
1277,BN Camelopardalis,05h 12m 22.45s,+73° 56′ 48.3″,5.44,374,/wiki/BN_Camelopardalis,Camelopardalis
1278,HD 46588,06h 46m 14.47s,+79° 33′ 58.6″,5.44,58,/wiki/HD_46588,Camelopardalis
1279,HD 30442,04h 52m 05.17s,+63° 30′ 20.3″,5.47,499,/wiki/HD_30442,Camelopardalis
1280,5 Camelopardalis,04h 55m 03.14s,+55° 15′ 32.9″,5.52,661,/wiki/5_Camelopardalis,Camelopardalis
1281,HD 89571,10h 29m 42.21s,+84° 15′ 07.6″,5.52,133,/wiki/HD_89571,Camelopardalis
1282,HD 68375,08h 19m 32.21s,+75° 45′ 24.7″,5.55,292,/wiki/HD_68375,Camelopardalis
1283,HD 37289,05h 42m 26.45s,+65° 41′ 51.7″,5.62,279,/wiki/HD_37289,Camelopardalis
1284,HD 58425,07h 30m 52.70s,+68° 27′ 56.6″,5.63,453,/wiki/HD_58425,Camelopardalis
1285,HD 34255,05h 20m 22.61s,+62° 39′ 13.4″,5.64,1976,/wiki/HD_34255,Camelopardalis
1286,HD 26670,04h 16m 53.55s,+61° 51′ 00.1″,5.69,409,/wiki/HD_26670,Camelopardalis
1287,HD 50885,07h 01m 21.40s,+70° 48′ 30.0″,5.69,457,/wiki/HD_50885,Camelopardalis
1288,HD 26755,04h 17m 08.07s,+57° 51′ 37.7″,5.72,263,/wiki/HD_26755,Camelopardalis
1289,HD 22764,03h 42m 42.73s,+59° 58′ 09.8″,5.74,2203,/wiki/HD_22764,Camelopardalis
1290,HD 117566,13h 26m 57.22s,+78° 38′ 37.7″,5.74,292,/wiki/HD_117566,Camelopardalis
1291,HD 31134,04h 56m 07.08s,+52° 52′ 11.0″,5.75,478,/wiki/HD_31134,Camelopardalis
1292,HD 45866,06h 40m 28.84s,+77° 59′ 44.9″,5.75,579,/wiki/HD_45866,Camelopardalis
1293,DL Camelopardalis,04h 32m 01.84s,+53° 54′ 39.0″,5.78,,/wiki/DL_Camelopardalis,Camelopardalis
1294,HD 104985,12h 05m 14.74s,+76° 54′ 21.4″,5.78,333,/wiki/HD_104985,Camelopardalis
1295,HD 23005,03h 46m 00.82s,+67° 12′ 06.8″,5.79,181,/wiki/HD_23005,Camelopardalis
1296,HD 24141,03h 53m 43.19s,+57° 58′ 31.3″,5.8,170,/wiki/HD_24141,Camelopardalis
1297,HD 33541,05h 18m 13.25s,+73° 16′ 05.3″,5.81,359,/wiki/HD_33541,Camelopardalis
1298,HD 23523,03h 49m 36.62s,+63° 17′ 49.6″,5.82,231,/wiki/HD_23523,Camelopardalis
1299,HD 25274,04h 06m 03.17s,+68° 40′ 47.9″,5.88,623,/wiki/HD_25274,Camelopardalis
1300,HD 46509,06h 40m 32.24s,+71° 44′ 55.5″,5.88,663,/wiki/HD_46509,Camelopardalis
1301,HD 27322,04h 21m 51.82s,+56° 30′ 22.7″,5.91,310,/wiki/HD_27322,Camelopardalis
1302,HD 28780,04h 36m 24.23s,+64° 15′ 41.8″,5.91,443,/wiki/HD_28780,Camelopardalis
1303,Σ 1694,12h 49m 06.79s,+83° 25′ 04.1″,5.92,222,/wiki/%CE%A3_1694,Camelopardalis
1304,HD 120565,13h 42m 22.94s,+82° 45′ 09.0″,5.92,364,/wiki/HD_120565,Camelopardalis
1305,26 Camelopardalis,05h 46m 30.37s,+56° 06′ 56.6″,5.93,193,/wiki/26_Camelopardalis,Camelopardalis
1306,51 Camelopardalis,07h 46m 40.04s,+65° 27′ 20.3″,5.93,332,/wiki/51_Camelopardalis,Camelopardalis
1307,HD 28204,04h 33m 30.62s,+72° 31′ 43.8″,5.94,373,/wiki/HD_28204,Camelopardalis
1308,HD 29678,04h 48m 50.26s,+75° 56′ 29.6″,5.96,149,/wiki/HD_29678,Camelopardalis
1309,HD 21819,03h 33m 39.10s,+54° 58′ 29.5″,5.98,222,/wiki/HD_21819,Camelopardalis
1310,HD 32356,05h 06m 29.66s,+61° 10′ 11.8″,6.0,563,/wiki/HD_32356,Camelopardalis
1311,HD 105943 (page does not exist),12h 11m 00.09s,+81° 42′ 35.4″,6.0,1101,/w/index.php?title=HD_105943&action=edit&redlink=1,Camelopardalis
1312,53 Camelopardalis,08h 01m 42.49s,+60° 19′ 27.9″,6.02,321,/wiki/53_Camelopardalis,Camelopardalis
1313,HD 31662 (page does not exist),05h 01m 36.02s,+61° 04′ 42.4″,6.03,120,/w/index.php?title=HD_31662&action=edit&redlink=1,Camelopardalis
1314,HD 44472 (page does not exist),06h 28m 14.49s,+70° 32′ 07.0″,6.03,553,/w/index.php?title=HD_44472&action=edit&redlink=1,Camelopardalis
1315,HD 26076 (page does not exist),04h 13m 44.81s,+72° 07′ 34.4″,6.05,365,/w/index.php?title=HD_26076&action=edit&redlink=1,Camelopardalis
1316,HD 31312 (page does not exist),05h 02m 19.79s,+74° 16′ 09.4″,6.05,628,/w/index.php?title=HD_31312&action=edit&redlink=1,Camelopardalis
1317,24 Camelopardalis,05h 43m 01.66s,+56° 34′ 53.2″,6.05,200,/wiki/24_Camelopardalis,Camelopardalis
1318,HD 26553 (page does not exist),04h 15m 01.80s,+57° 27′ 37.3″,6.06,1309,/w/index.php?title=HD_26553&action=edit&redlink=1,Camelopardalis
1319,12 Camelopardalis,05h 06m 12.14s,+59° 01′ 17.1″,6.08,625,/wiki/12_Camelopardalis,Camelopardalis
1320,HD 26553 (page does not exist),03h 47m 32.12s,+55° 55′ 19.4″,6.09,431,/w/index.php?title=HD_26553&action=edit&redlink=1,Camelopardalis
1321,8 Camelopardalis,04h 59m 46.34s,+53° 09′ 19.7″,6.09,767,/wiki/8_Camelopardalis,Camelopardalis
1322,HD 65448 (page does not exist),08h 02m 30.82s,+63° 05′ 25.2″,6.09,522,/w/index.php?title=HD_65448&action=edit&redlink=1,Camelopardalis
1323,HD 31590 (page does not exist),05h 04m 39.65s,+74° 04′ 01.2″,6.1,537,/w/index.php?title=HD_31590&action=edit&redlink=1,Camelopardalis
1324,HD 99945 (page does not exist),11h 31m 51.08s,+81° 07′ 37.8″,6.12,195,/w/index.php?title=HD_99945&action=edit&redlink=1,Camelopardalis
1325,15 Camelopardalis,05h 19m 27.85s,+58° 07′ 02.7″,6.13,879,/wiki/15_Camelopardalis,Camelopardalis
1326,HD 21427 (page does not exist),03h 30m 10.93s,+59° 21′ 57.8″,6.14,337,/w/index.php?title=HD_21427&action=edit&redlink=1,Camelopardalis
1327,HD 25425 (page does not exist),04h 06m 38.81s,+65° 31′ 15.1″,6.14,457,/w/index.php?title=HD_25425&action=edit&redlink=1,Camelopardalis
1328,30 Camelopardalis,05h 52m 17.26s,+58° 57′ 50.9″,6.14,545,/wiki/30_Camelopardalis,Camelopardalis
1329,HD 33618 (page does not exist),05h 15m 11.38s,+59° 24′ 20.6″,6.15,307,/w/index.php?title=HD_33618&action=edit&redlink=1,Camelopardalis
1330,Unnamed Star,05h 37m 15.07s,+64° 09′ 17.5″,6.15,372,,Camelopardalis
1331,HD 72582 (page does not exist),08h 39m 42.64s,+73° 37′ 47.7″,6.16,355,/w/index.php?title=HD_72582&action=edit&redlink=1,Camelopardalis
1332,HD 33266,05h 13m 02.83s,+61° 51′ 00.1″,6.17,477,/wiki/HD_33266,Camelopardalis
1333,23 Camelopardalis,05h 44m 08.46s,+61° 28′ 35.5″,6.17,318,/wiki/23_Camelopardalis,Camelopardalis
1334,HD 27402 (page does not exist),04h 22m 57.91s,+59° 36′ 58.6″,6.18,378,/w/index.php?title=HD_27402&action=edit&redlink=1,Camelopardalis
1335,HD 38284 (page does not exist),05h 49m 04.68s,+62° 48′ 29.5″,6.18,412,/w/index.php?title=HD_38284&action=edit&redlink=1,Camelopardalis
1336,HD 36384,05h 39m 43.72s,+75° 02′ 37.7″,6.19,579,/wiki/HD_36384,Camelopardalis
1337,HD 31675 (page does not exist),05h 02m 50.34s,+66° 49′ 25.6″,6.2,91,/w/index.php?title=HD_31675&action=edit&redlink=1,Camelopardalis
1338,HD 31563 (page does not exist),05h 04m 12.77s,+73° 45′ 50.2″,6.21,1331,/w/index.php?title=HD_31563&action=edit&redlink=1,Camelopardalis
1339,FR Camelopardalis (page does not exist),12h 00m 18.84s,+80° 51′ 11.8″,6.21,819,/w/index.php?title=FR_Camelopardalis&action=edit&redlink=1,Camelopardalis
1340,HD 38645 (page does not exist),05h 52m 55.49s,+68° 28′ 17.9″,6.22,415,/w/index.php?title=HD_38645&action=edit&redlink=1,Camelopardalis
1341,HD 39429 (page does not exist),05h 57m 34.95s,+66° 05′ 46.1″,6.24,427,/w/index.php?title=HD_39429&action=edit&redlink=1,Camelopardalis
1342,HD 25948 (page does not exist),04h 09m 22.16s,+54° 49′ 44.7″,6.25,155,/w/index.php?title=HD_25948&action=edit&redlink=1,Camelopardalis
1343,HD 115337,13h 12m 25.46s,+80° 28′ 16.6″,6.25,686,/wiki/HD_115337,Camelopardalis
1344,HD 36496 (page does not exist),05h 37m 16.05s,+66° 41′ 48.2″,6.26,259,/w/index.php?title=HD_36496&action=edit&redlink=1,Camelopardalis
1345,HD 45947 (page does not exist),06h 37m 55.24s,+73° 41′ 44.3″,6.26,116,/w/index.php?title=HD_45947&action=edit&redlink=1,Camelopardalis
1346,HD 104904 (page does not exist),12h 04m 28.53s,+85° 35′ 12.9″,6.27,249,/w/index.php?title=HD_104904&action=edit&redlink=1,Camelopardalis
1347,HD 27855 (page does not exist),04h 27m 00.86s,+57° 35′ 07.2″,6.28,755,/w/index.php?title=HD_27855&action=edit&redlink=1,Camelopardalis
1348,HD 40055 (page does not exist),06h 05m 09.32s,+75° 35′ 09.4″,6.28,720,/w/index.php?title=HD_40055&action=edit&redlink=1,Camelopardalis
1349,HD 67934 (page does not exist),08h 24m 33.11s,+82° 25′ 51.0″,6.28,679,/w/index.php?title=HD_67934&action=edit&redlink=1,Camelopardalis
1350,KZ Camelopardalis (page does not exist),03h 38m 19.70s,+56° 55′ 58.1″,6.29,557,/w/index.php?title=KZ_Camelopardalis&action=edit&redlink=1,Camelopardalis
1351,HD 25877 (page does not exist),04h 09m 27.58s,+59° 54′ 29.1″,6.29,1072,/w/index.php?title=HD_25877&action=edit&redlink=1,Camelopardalis
1352,HD 55075 (page does not exist),07h 25m 21.97s,+81° 15′ 27.1″,6.3,832,/w/index.php?title=HD_55075&action=edit&redlink=1,Camelopardalis
1353,HD 76990 (page does not exist),09h 15m 21.24s,+84° 10′ 51.6″,6.3,294,/w/index.php?title=HD_76990&action=edit&redlink=1,Camelopardalis
1354,HD 23662 (page does not exist),03h 51m 41.75s,+68° 30′ 27.1″,6.31,821,/w/index.php?title=HD_23662&action=edit&redlink=1,Camelopardalis
1355,HD 24164 (page does not exist),03h 56m 30.33s,+71° 49′ 17.9″,6.31,196,/w/index.php?title=HD_24164&action=edit&redlink=1,Camelopardalis
1356,HD 25602 (page does not exist),04h 06m 36.58s,+54° 00′ 32.0″,6.31,319,/w/index.php?title=HD_25602&action=edit&redlink=1,Camelopardalis
1357,HD 71973 (page does not exist),08h 36m 48.78s,+74° 43′ 25.4″,6.31,273,/w/index.php?title=HD_71973&action=edit&redlink=1,Camelopardalis
1358,HD 86321 (page does not exist),10h 08m 34.40s,+83° 55′ 06.1″,6.31,883,/w/index.php?title=HD_86321&action=edit&redlink=1,Camelopardalis
1359,HD 30144 (page does not exist),04h 48m 06.94s,+55° 36′ 10.2″,6.32,166,/w/index.php?title=HD_30144&action=edit&redlink=1,Camelopardalis
1360,HD 40827 (page does not exist),06h 05m 08.23s,+59° 23′ 36.0″,6.32,471,/w/index.php?title=HD_40827&action=edit&redlink=1,Camelopardalis
1361,HD 26101 (page does not exist),04h 12m 51.88s,+68° 30′ 04.1″,6.33,387,/w/index.php?title=HD_26101&action=edit&redlink=1,Camelopardalis
1362,HD 111112 (page does not exist),12h 44m 25.90s,+80° 37′ 16.1″,6.33,462,/w/index.php?title=HD_111112&action=edit&redlink=1,Camelopardalis
1363,HD 30085 (page does not exist),04h 50m 36.39s,+70° 56′ 29.7″,6.36,647,/w/index.php?title=HD_30085&action=edit&redlink=1,Camelopardalis
1364,HD 32781 (page does not exist),05h 14m 35.54s,+76° 28′ 22.0″,6.36,421,/w/index.php?title=HD_32781&action=edit&redlink=1,Camelopardalis
1365,HD 54070 (page does not exist),07h 13m 57.99s,+71° 48′ 59.5″,6.36,396,/w/index.php?title=HD_54070&action=edit&redlink=1,Camelopardalis
1366,47 Camelopardalis (page does not exist),07h 22m 17.19s,+59° 54′ 07.1″,6.36,229,/w/index.php?title=47_Camelopardalis&action=edit&redlink=1,Camelopardalis
1367,HD 21794 (page does not exist),03h 33m 41.23s,+57° 52′ 07.1″,6.37,234,/w/index.php?title=HD_21794&action=edit&redlink=1,Camelopardalis
1368,HD 32715 (page does not exist),05h 09m 44.53s,+64° 55′ 11.8″,6.37,129,/w/index.php?title=HD_32715&action=edit&redlink=1,Camelopardalis
1369,HD 77246 (page does not exist),09h 11m 12.73s,+80° 49′ 44.2″,6.37,252,/w/index.php?title=HD_77246&action=edit&redlink=1,Camelopardalis
1370,HD 34200 (page does not exist),05h 20m 40.69s,+66° 44′ 48.5″,6.39,384,/w/index.php?title=HD_34200&action=edit&redlink=1,Camelopardalis
1371,HD 30752 (page does not exist),04h 53m 09.80s,+52° 50′ 28.3″,6.4,523,/w/index.php?title=HD_30752&action=edit&redlink=1,Camelopardalis
1372,HD 69054 (page does not exist),08h 22m 09.50s,+74° 49′ 12.9″,6.4,466,/w/index.php?title=HD_69054&action=edit&redlink=1,Camelopardalis
1373,HD 20104,03h 17m 31.54s,+65° 39′ 30.1″,6.41,596,/wiki/HD_20104,Camelopardalis
1374,HD 40956 (page does not exist),06h 06m 39.20s,+63° 27′ 13.7″,6.42,414,/w/index.php?title=HD_40956&action=edit&redlink=1,Camelopardalis
1375,HD 79517 (page does not exist),09h 19m 55.78s,+74° 01′ 00.3″,6.42,370,/w/index.php?title=HD_79517&action=edit&redlink=1,Camelopardalis
1376,HD 21903 (page does not exist),03h 35m 01.04s,+60° 02′ 29.0″,6.43,183,/w/index.php?title=HD_21903&action=edit&redlink=1,Camelopardalis
1377,HD 32518,05h 09m 36.62s,+69° 38′ 22.4″,6.44,383,/wiki/HD_32518,Camelopardalis
1378,18 Camelopardalis,05h 32m 33.68s,+57° 13′ 17.8″,6.44,143,/wiki/18_Camelopardalis,Camelopardalis
1379,HD 21769 (page does not exist),03h 33m 32.19s,+58° 45′ 55.3″,6.45,763,/w/index.php?title=HD_21769&action=edit&redlink=1,Camelopardalis
1380,HD 65299 (page does not exist),08h 16m 53.96s,+84° 03′ 27.7″,6.45,568,/w/index.php?title=HD_65299&action=edit&redlink=1,Camelopardalis
1381,HD 23594 (page does not exist),03h 49m 19.73s,+57° 07′ 06.0″,6.46,531,/w/index.php?title=HD_23594&action=edit&redlink=1,Camelopardalis
1382,HD 29329 (page does not exist),04h 46m 00.39s,+76° 36′ 40.9″,6.46,105,/w/index.php?title=HD_29329&action=edit&redlink=1,Camelopardalis
1383,HD 118686 (page does not exist),13h 34m 42.81s,+76° 32′ 48.1″,6.46,1025,/w/index.php?title=HD_118686&action=edit&redlink=1,Camelopardalis
1384,HD 57742 (page does not exist),07h 27m 25.84s,+66° 19′ 53.66″,6.47,893,/w/index.php?title=HD_57742&action=edit&redlink=1,Camelopardalis
1385,HD 34450 (page does not exist),05h 24m 59.43s,+73° 42′ 25.9″,6.48,1254,/w/index.php?title=HD_34450&action=edit&redlink=1,Camelopardalis
1386,39 Camelopardalis,06h 11m 13.63s,+60° 27′ 12.7″,6.48,1268,/wiki/39_Camelopardalis,Camelopardalis
1387,HD 21203 (page does not exist),03h 28m 23.56s,+60° 15′ 20.6″,6.49,858,/w/index.php?title=HD_21203&action=edit&redlink=1,Camelopardalis
1388,HD 25225 (page does not exist),04h 07m 10.77s,+74° 00′ 01.29″,6.49,409,/w/index.php?title=HD_25225&action=edit&redlink=1,Camelopardalis
1389,14 Camelopardalis,05h 13m 31.29s,+62° 41′ 28.1″,6.49,268,/wiki/14_Camelopardalis,Camelopardalis
1390,HD 38058 (page does not exist),05h 47m 32.26s,+63° 35′ 55.85″,6.49,482,/w/index.php?title=HD_38058&action=edit&redlink=1,Camelopardalis
1391,HD 52030 (page does not exist),07h 05m 51.67s,+70° 43′ 54.93″,6.49,847,/w/index.php?title=HD_52030&action=edit&redlink=1,Camelopardalis
1392,HD 40568 (page does not exist),06h 03m 04.31s,+57° 01′ 06.3″,6.5,565,/w/index.php?title=HD_40568&action=edit&redlink=1,Camelopardalis
1393,49 Camelopardalis,07h 46m 27.46s,+62° 49′ 50.4″,6.5,265,/wiki/49_Camelopardalis,Camelopardalis
1394,29 Camelopardalis,05h 50m 33.89s,+56° 55′ 08.2″,6.53,441,/wiki/29_Camelopardalis,Camelopardalis
1395,Unnamed Star,06h 33m 04.0s,+78° 58′ 46″,6.6,698,,Camelopardalis
1396,6 Camelopardalis (page does not exist),04h 56m 49.48s,+55° 49′ 26.8″,6.63,874,/w/index.php?title=6_Camelopardalis&action=edit&redlink=1,Camelopardalis
1397,HD 24064 (page does not exist),03h 56m 36.0s,+74° 04′ 48″,6.75,862,/w/index.php?title=HD_24064&action=edit&redlink=1,Camelopardalis
1398,28 Camelopardalis,05h 46m 54.60s,+56° 55′ 26.4″,6.79,622,/wiki/28_Camelopardalis,Camelopardalis
1399,22 Camelopardalis,05h 39m 05.39s,+56° 21′ 37.3″,7.03,196,/wiki/22_Camelopardalis,Camelopardalis
1400,20 Camelopardalis,05h 37m 27.04758s,+56° 29′ 16.1335″,7.45,"1,163",/wiki/20_Camelopardalis,Camelopardalis
1401,HD 35759,05h 31m 33.0s,+64° 16′ 58″,7.74,236,/wiki/HD_35759,Camelopardalis
1402,HD 29021 (page does not exist),04h 37m 52.2s,+60° 40′ 34″,7.76,100,/w/index.php?title=HD_29021&action=edit&redlink=1,Camelopardalis
1403,Beta Cancri,08h 16m 30.95s,+09° 11′ 08.4″,3.53,290,/wiki/Beta_Cancri,Cancer
1404,Delta Cancri,08h 44m 41.11s,+18° 09′ 17.5″,3.94,136,/wiki/Delta_Cancri,Cancer
1405,Iota Cancri,08h 46m 41.83s,+28° 45′ 36.0″,4.03,298,/wiki/Iota_Cancri,Cancer
1406,Alpha Cancri,08h 58m 29.20s,+11° 51′ 28.0″,4.26,173,/wiki/Alpha_Cancri,Cancer
1407,Gamma Cancri,08h 43m 17.21s,+21° 28′ 06.9″,4.66,181,/wiki/Gamma_Cancri,Cancer
1408,Zeta Cancri,08h 12m 12.71s,+17° 38′ 53.3″,4.67,83,/wiki/Zeta_Cancri,Cancer
1409,Unnamed Star,08h 25m 54.79s,+07° 33′ 52.3″,5.13,359,/wiki/Double_star,Cancer
1410,8 Cancri,08h 05m 04.51s,+13° 07′ 06.1″,5.14,210,/wiki/8_Cancri,Cancer
1411,Chi Cancri,08h 20m 03.87s,+27° 13′ 07.0″,5.14,59,/wiki/Chi_Cancri,Cancer
1412,Xi Cancri,09h 09m 21.53s,+22° 02′ 43.6″,5.16,380,/wiki/Xi_Cancri,Cancer
1413,Omicron1 Cancri,08h 57m 14.91s,+15° 19′ 21.8″,5.22,160,/wiki/Omicron1_Cancri,Cancer
1414,Rho2 Cancri,08h 55m 39.69s,+27° 55′ 39.2″,5.23,574,/wiki/Rho2_Cancri,Cancer
1415,Sigma3 Cancri,08h 59m 32.68s,+32° 25′ 07.1″,5.23,320,/wiki/Sigma3_Cancri,Cancer
1416,Kappa Cancri,09h 07m 44.82s,+10° 40′ 05.6″,5.23,484,/wiki/Kappa_Cancri,Cancer
1417,Mu2 Cancri,08h 07m 45.84s,+21° 34′ 55.1″,5.3,76,/wiki/Mu2_Cancri,Cancer
1418,Theta Cancri,08h 31m 35.77s,+18° 05′ 40.4″,5.33,494,/wiki/Theta_Cancri,Cancer
1419,Eta Cancri,08h 32m 42.52s,+20° 26′ 28.6″,5.33,312,/wiki/Eta_Cancri,Cancer
1420,82 Cancri,09h 15m 13.88s,+14° 56′ 29.5″,5.36,701,/wiki/82_Cancri,Cancer
1421,57 Cancri,08h 54m 14.70s,+30° 34′ 45.0″,5.4,365,/wiki/57_Cancri,Cancer
1422,Tau Cancri,09h 08m 00.07s,+29° 39′ 15.2″,5.42,260,/wiki/Tau_Cancri,Cancer
1423,60 Cancri,08h 55m 55.56s,+11° 37′ 33.8″,5.44,582,/wiki/60_Cancri,Cancer
1424,Sigma2 Cancri,08h 56m 56.63s,+32° 54′ 38.1″,5.44,195,/wiki/Sigma2_Cancri,Cancer
1425,Nu Cancri,09h 02m 44.27s,+24° 27′ 10.6″,5.45,457,/wiki/Nu_Cancri,Cancer
1426,27 Cancri,08h 26m 43.95s,+12° 39′ 17.5″,5.56,1052,/wiki/27_Cancri,Cancer
1427,Phi1 Cancri,08h 26m 27.73s,+27° 53′ 37.9″,5.58,398,/wiki/Phi1_Cancri,Cancer
1428,3 Cancri,08h 00m 47.31s,+17° 18′ 31.4″,5.6,721,/wiki/3_Cancri,Cancer
1429,15 Cancri,08h 13m 08.87s,+29° 39′ 23.7″,5.62,872,/wiki/15_Cancri,Cancer
1430,45 Cancri,08h 43m 12.34s,+12° 40′ 51.1″,5.62,1028,/wiki/45_Cancri,Cancer
1431,49 Cancri,08h 44m 45.04s,+10° 04′ 54.2″,5.63,408,/wiki/49_Cancri,Cancer
1432,Sigma1 Cancri,08h 52m 34.62s,+32° 28′ 26.8″,5.67,204,/wiki/Sigma1_Cancri,Cancer
1433,Omicron2 Cancri,08h 57m 35.16s,+15° 34′ 52.4″,5.68,161,/wiki/Omicron2_Cancri,Cancer
1434,Upsilon1 Cancri,08h 31m 30.57s,+24° 04′ 52.4″,5.71,237,/wiki/Upsilon1_Cancri,Cancer
1435,Psi2 Cancri,08h 10m 27.23s,+25° 30′ 29.4″,5.73,137,/wiki/Psi2_Cancri,Cancer
1436,1 Cancri,07h 56m 59.47s,+15° 47′ 25.4″,5.8,462,/wiki/1_Cancri,Cancer
1437,Unnamed Star,08h 20m 20.93s,+20° 44′ 52.2″,5.8,510,,Cancer
1438,Unnamed Star,09h 02m 44.82s,+07° 17′ 53.7″,5.85,664,,Cancer
1439,Omega1 Cancri,08h 00m 55.87s,+25° 23′ 34.2″,5.87,660,/wiki/Omega1_Cancri,Cancer
1440,50 Cancri,08h 46m 56.06s,+12° 06′ 36.3″,5.89,199,/wiki/50_Cancri,Cancer
1441,66 Cancri,09h 01m 24.13s,+32° 15′ 08.3″,5.89,509,/wiki/66_Cancri,Cancer
1442,HD 72945,08h 35m 51.05s,+06° 37′ 13.9″,5.91,87,/wiki/HD_72945,Cancer
1443,Lambda Cancri,08h 20m 32.15s,+24° 01′ 20.5″,5.92,419,/wiki/Lambda_Cancri,Cancer
1444,36 Cancri,08h 37m 05.79s,+09° 39′ 20.1″,5.92,461,/wiki/36_Cancri,Cancer
1445,20 Cancri,08h 23m 21.87s,+18° 19′ 56.2″,5.94,395,/wiki/20_Cancri,Cancer
1446,29 Cancri,08h 28m 37.35s,+14° 12′ 39.1″,5.94,308,/wiki/29_Cancri,Cancer
1447,75 Cancri,09h 08m 47.42s,+26° 37′ 48.0″,5.95,102,/wiki/75_Cancri,Cancer
1448,Unnamed Star,08h 38m 19.00s,+32° 48′ 07.3″,5.96,367,,Cancer
1449,55 Cancri,08h 52m 36.13s,+28° 19′ 53.0″,5.96,41,/wiki/55_Cancri,Cancer
1450,Mu1 Cancri,08h 06m 18.40s,+22° 38′ 07.8″,5.97,626,/wiki/Mu1_Cancri,Cancer
